AirtableID,Request ID,Monday Part Request,Material,Request Status,Part Type,Qty On Order,Qty Completed,Quantity Remaining,Created,Last Modified Time,Daily Update,Daily Update 2,Daily Update 3,Daily Update 4,Remaining Manufacturing Time (Hours),Pricing,Lookup Manufacturing Time (from Pricing),Run Automation,Daily Update copy
Atrium Closed - Cups - Walnut Burl - 9253679065,9253679065,Atrium Closed,Walnut Burl,Open,Cups,8,,8,5/28/2025 4:38pm,5/28/2025 4:38pm,,,,,4,Cups,0:30,,
Verite Open - Cups - Resin and/or Stabilized - 9261216537,9261216537,Verite Open,Resin and/or Stabilized,Open,Cups,4,,4,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Verite Closed - Cups - Resin and/or Stabilized - 9261231017,9261231017,Verite Closed,Resin and/or Stabilized,Open,Cups,4,,4,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Bokeh Closed - Cups - Stabilized - 9261240299,9261240299,Bokeh Closed,Stabilized,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Bokeh Open - Cups - Resin - 9261241107,9261241107,Bokeh Open,Resin,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Bokeh Closed - Cups - Resin - 9261239429,9261239429,Bokeh Closed,Resin,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Bokeh Open - Cups - Stabilized - 9261242050,9261242050,Bokeh Open,Stabilized,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Atrium - Cups - Resin and/or stabilized - 9261210208,9261210208,Atrium,Resin and/or stabilized,Open,Cups,15,,15,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,8,Cups,0:30,,
Atrium - Cups - Flake - 9261211533,9261211533,Atrium,Flake,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Caldera Closed - Cups - Black and White Ebony - 9261268585,9261268585,Caldera Closed,Black and White Ebony,Open,Cups,6,,6,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,3,Cups,0:30,,
Atrium - Cups - Black and White Ebony - 9261269621,9261269621,Atrium,Black and White Ebony,Open,Cups,10,,10,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,5,Cups,0:30,,
Verite Open - Cups - Black and White Ebony - 9261276151,9261276151,Verite Open,Black and White Ebony,Open,Cups,3,,3,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Verite Closed - Cups - Black and White Ebony - 9261277208,9261277208,Verite Closed,Black and White Ebony,Open,Cups,3,,3,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Bokeh Open - Cups - Black and White Ebony - 9261272627,9261272627,Bokeh Open,Black and White Ebony,Open,Cups,6,,6,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,3,Cups,0:30,,
Bokeh Closed - Cups - Black and White Ebony - 9261274140,9261274140,Bokeh Closed,Black and White Ebony,Open,Cups,6,,6,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,3,Cups,0:30,,
Atrium Closed - Cups - Black and White Ebony - 9261270777,9261270777,Atrium Closed,Black and White Ebony,Open,Cups,6,,6,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,3,Cups,0:30,,
Caldera Closed - Cups - Persimmon - 9261332895,9261332895,Caldera Closed,Persimmon,Open,Cups,6,,6,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,3,Cups,0:30,,
Auteur - Cups - Black and White Ebony - 9261271464,9261271464,Auteur,Black and White Ebony,Open,Cups,3,,3,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Atrium Closed - Cups - Persimmon - 9261333721,9261333721,Atrium Closed,Persimmon,Open,Cups,4,,4,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Auteur - Cups - Resin - 9261248103,9261248103,Auteur,Resin,Open,Cups,4,,4,5/29/2025 5:18pm,5/29/2025 5:18pm,,,,,2,Cups,0:30,,
Bokeh Open - Cups - Canary - 9285926664,9285926664,Bokeh Open,Canary,Open,Cups,0,,0,6/2/2025 7:57pm,6/2/2025 7:58pm,,,,,0,Cups,0:30,,
Bokeh Closed - Cups - Canary - 9285926000,9285926000,Bokeh Closed,Canary,Open,Cups,8,,8,6/2/2025 7:58pm,6/2/2025 7:58pm,,,,,4,Cups,0:30,,
