Update ID,Part Requests,Monday Request ID Lookup,Monday Part Request  (from Part Requests),Part Type (from Part Requests),Material (from Part Requests) 2,Qty Made,Material - Import ,Date Manufactured,Row Total Revenue,Pricing Table Link,Price (from Pricing),Created Time,Run Automations,Entered In Monday,Statistics,Part Type - OLD,Part Type - Text - OLD,Part Import,Material (from Part Requests),Duplicate? Request ID (from Part Requests),Attachments,Monthly Total,Calculation,shippingStatus
1334,Verite Open - Baffles - Richlite - 9032995077,9032995077,Verite Open,Baffles,Richlite,20,,5/14/2025,$400.00,Baffles,$20.00,5/14/2025 4:26pm,,checked,,Cups,,,Richlite,Verite Open - Baffles - Richlite - 9032995077,,, - Baffles - ,In Transit
1333,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,4,,5/14/2025,$160.00,Cups,$40.00,5/14/2025 4:25pm,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1332,Bokeh Open - Baffles - Richlite - 8999642299,8999642299,Bokeh Open,Baffles,Richlite,15,,5/13/2025,$300.00,Baffles,$20.00,5/13/2025 3:55pm,,checked,,Cups,,,Richlite,Bokeh Open - Baffles - Richlite - 8999642299,,, - Baffles - ,In Transit
1331,Aeolus - Baffles - Richlite - 8999639387,8999639387,Aeolus,Baffles,Richlite,22,,5/13/2025,$440.00,Baffles,$20.00,5/13/2025 3:54pm,,checked,,Cups,,,Richlite,Aeolus - Baffles - Richlite - 8999639387,,, - Baffles - ,In Transit
1330,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,9,,5/13/2025,$360.00,Cups,$40.00,5/13/2025 3:54pm,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1329,Bokeh Open - Cups - Emberstone - 8999540587,8999540587,Bokeh Open,Cups,Emberstone,23,,5/13/2025,$920.00,Cups,$40.00,5/13/2025 3:53pm,,checked,,Cups,,,Emberstone,Bokeh Open - Cups - Emberstone - 8999540587,,, - Cups - ,In Transit
1328,Bokeh Open - Cups - Nocturne - 8999540132,8999540132,Bokeh Open,Cups,Nocturne,24,,5/13/2025,$960.00,Cups,$40.00,5/13/2025 3:53pm,,checked,,Cups,,,Nocturne,Bokeh Open - Cups - Nocturne - 8999540132,,, - Cups - ,In Transit
1327,Caldera Closed - Cups - Purple Resin Flake - 9021306182,9021306182,Caldera Closed,Cups,Purple Resin Flake,1,,5/1/2025,$40.00,Cups,$40.00,5/1/2025 5:25pm,,checked,,Cups,,,Purple Resin Flake,Caldera Closed - Cups - Purple Resin Flake - 9021306182,,, - Cups - ,In Transit
1326,Atrium Open - Baffles - Richlite - 8999640067,8999640067,Atrium Open,Baffles,Richlite,30,,5/1/2025,$600.00,Baffles,$20.00,5/1/2025 3:59pm,,checked,,Cups,,,Richlite,Atrium Open - Baffles - Richlite - 8999640067,,, - Baffles - ,In Transit
1325,Bokeh Closed - Cups - Limba - 8999541215,8999541215,Bokeh Closed,Cups,Limba,5,,5/1/2025,$200.00,Cups,$40.00,5/1/2025 10:47am,,checked,,Cups,,,Limba,Bokeh Closed - Cups - Limba - 8999541215,,, - Cups - ,In Transit
1324,Verite Open - Cups - Green Resin Flake - 9021313938,9021313938,Verite Open,Cups,Green Resin Flake,2,,5/1/2025,$80.00,Cups,$40.00,5/1/2025 9:10am,,checked,,Cups,,,Green Resin Flake,Verite Open - Cups - Green Resin Flake - 9021313938,,, - Cups - ,In Transit
1323,Caldera Closed - Cups - Purple Resin Flake - 9021306182,9021306182,Caldera Closed,Cups,Purple Resin Flake,1,,5/1/2025,$40.00,Cups,$40.00,5/1/2025 8:03am,,checked,,Cups,,,Purple Resin Flake,Caldera Closed - Cups - Purple Resin Flake - 9021306182,,, - Cups - ,In Transit
1322,Atrium Open - Cups - Cherry - 8999613817,8999613817,Atrium Open,Cups,Cherry,9,,5/1/2025,$360.00,Cups,$40.00,5/1/2025 8:03am,,checked,,Cups,,,Cherry,Atrium Open - Cups - Cherry - 8999613817,,, - Cups - ,In Transit
1321,Aeolus - Cups - Purple Resin Flake - 9021311820,9021311820,Aeolus,Cups,Purple Resin Flake,2,,4/30/2025,$80.00,Cups,$40.00,4/30/2025 5:02pm,,checked,,Cups,,,Purple Resin Flake,Aeolus - Cups - Purple Resin Flake - 9021311820,,, - Cups - ,In Transit
1320,Bokeh Closed - Baffles - Richlite - 8999641869,8999641869,Bokeh Closed,Baffles,Richlite,30,,4/30/2025,$600.00,Baffles,$20.00,4/30/2025 5:02pm,,checked,,Cups,,,Richlite,Bokeh Closed - Baffles - Richlite - 8999641869,,, - Baffles - ,In Transit
1319,Atrium - Cups - Red Resin Flake - 9021323990,9021323990,Atrium,Cups,Red Resin Flake,2,,4/30/2025,$80.00,Cups,$40.00,4/30/2025 5:01pm,,checked,,Cups,,,Red Resin Flake,Atrium - Cups - Red Resin Flake - 9021323990,,, - Cups - ,In Transit
1318,Atrium Open - Cups - Cherry - 8999613817,8999613817,Atrium Open,Cups,Cherry,9,,4/30/2025,$360.00,Cups,$40.00,4/30/2025 5:00pm,,checked,,Cups,,,Cherry,Atrium Open - Cups - Cherry - 8999613817,,, - Cups - ,In Transit
1317,Atrium - Cups - Green Solid Resin - 9022891871,9022891871,Atrium,Cups,Green Solid Resin,2,,4/29/2025,$80.00,Cups,$40.00,4/29/2025 1:40pm,,checked,,Cups,,,Green Solid Resin,Atrium - Cups - Green Solid Resin - 9022891871,,, - Cups - ,In Transit
1316,Aeolus - Cups - Blue Resin Flake - 9021317622,9021317622,Aeolus,Cups,Blue Resin Flake,2,,4/29/2025,$80.00,Cups,$40.00,4/29/2025 1:32pm,,checked,,Cups,,,Blue Resin Flake,Aeolus - Cups - Blue Resin Flake - 9021317622,,, - Cups - ,In Transit
1315,Bokeh Open - Cups - Canary - 8970287464,8970287464,Bokeh Open,Cups,Canary,10,,4/29/2025,$400.00,Cups,$40.00,4/29/2025 1:31pm,,checked,,Cups,,,Canary,Bokeh Open - Cups - Canary - 8970287464,,, - Cups - ,In Transit
1314,Aeolus - Cups - Ash - 8970274156,8970274156,Aeolus,Cups,Ash,5,,4/29/2025,$200.00,Cups,$40.00,4/29/2025 1:31pm,,checked,,Cups,,,Ash,Aeolus - Cups - Ash - 8970274156,,, - Cups - ,In Transit
1313,Atrium Open - Cups - Katalox - 8970262524,8970262524,Atrium Open,Cups,Katalox,4,,4/29/2025,$160.00,Cups,$40.00,4/29/2025 1:30pm,,checked,,Cups,,,Katalox,Atrium Open - Cups - Katalox - 8970262524,,, - Cups - ,In Transit
1312,Caldera Closed - Cups - Cocobolo - 8970242433,8970242433,Caldera Closed,Cups,Cocobolo,20,,4/29/2025,$800.00,Cups,$40.00,4/29/2025 1:30pm,,checked,,Cups,,,Cocobolo,Caldera Closed - Cups - Cocobolo - 8970242433,,, - Cups - ,In Transit
1311,Verite - Cups - David Kley Wood - 8622176543,8622176543,Verite,Cups,David Kley Wood,1,,4/29/2025,$40.00,Cups,$40.00,4/29/2025 1:30pm,,checked,,Cups,,,David Kley Wood,Verite - Cups - David Kley Wood - 8622176543,,, - Cups - ,In Transit
1310,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,8875350176,Bokeh Open,Cups,Spectraply Emberstone,4,,4/29/2025,$160.00,Cups,$40.00,4/29/2025 1:30pm,,checked,,Cups,,,Spectraply Emberstone,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,,, - Cups - ,In Transit
1309,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,8875348156,Bokeh Open,Cups,Spectraply Nocturne,1,,4/21/2025,$40.00,Cups,$40.00,4/22/2025 10:59am,,checked,,Cups,,,Spectraply Nocturne,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,,, - Cups - ,In Transit
1308,Atrium Closed - Cups - Canare - 8690518347,8690518347,Atrium Closed,Cups,Canare,7,,4/21/2025,$280.00,Cups,$40.00,4/22/2025 10:59am,,checked,,Cups,,,Canare,Atrium Closed - Cups - Canare - 8690518347,,, - Cups - ,In Transit
1307,Atrium Closed - Cups - SpectraPly Blue - 8970309676,8970309676,Atrium Closed,Cups,SpectraPly Blue,6,,4/21/2025,$240.00,Cups,$40.00,4/22/2025 10:59am,,checked,,Cups,,,SpectraPly Blue,Atrium Closed - Cups - SpectraPly Blue - 8970309676,,, - Cups - ,In Transit
1306,Atrium Closed - Baffles - Richlite - 8927029704,8927029704,Atrium Closed,Baffles,Richlite,10,,4/17/2025,$200.00,Baffles,$20.00,4/21/2025 10:38am,,checked,,Cups,,,Richlite,Atrium Closed - Baffles - Richlite - 8927029704,,, - Baffles - ,In Transit
1305,BOKEH Closed - Cups - Resin Flake - 7354467525,7354467525,BOKEH Closed,Cups,Resin Flake,2,,4/17/2025,$80.00,Cups,$40.00,4/21/2025 10:38am,,checked,,Cups,,,Resin Flake,BOKEH Closed - Cups - Resin Flake - 7354467525,,, - Cups - ,In Transit
1304,Bokeh Closed - Cups - Canare - 8927078684,8927078684,Bokeh Closed,Cups,Canare,14,,4/17/2025,$560.00,Cups,$40.00,4/21/2025 10:37am,,checked,,Cups,,,Canare,Bokeh Closed - Cups - Canare - 8927078684,,, - Cups - ,In Transit
1303,Aeolus - Cups - Ash - 8690554825,8690554825,Aeolus,Cups,Ash,3,,4/18/2025,$120.00,Cups,$40.00,4/21/2025 10:37am,,checked,,Cups,,,Ash,Aeolus - Cups - Ash - 8690554825,,, - Cups - ,In Transit
1302,Atrium Closed - Cups - Canare - 8690518347,8690518347,Atrium Closed,Cups,Canare,7,,4/18/2025,$280.00,Cups,$40.00,4/21/2025 10:36am,,checked,,Cups,,,Canare,Atrium Closed - Cups - Canare - 8690518347,,, - Cups - ,In Transit
1301,Atrium Closed - Baffles - Richlite - 8927029704,8927029704,Atrium Closed,Baffles,Richlite,10,,4/16/2025,$200.00,Baffles,$20.00,4/16/2025 5:37pm,,checked,,Cups,,,Richlite,Atrium Closed - Baffles - Richlite - 8927029704,,, - Baffles - ,In Transit
1300,Bokeh Closed - Cups - Canare - 8927078684,8927078684,Bokeh Closed,Cups,Canare,7,,4/16/2025,$280.00,Cups,$40.00,4/16/2025 5:36pm,,checked,,Cups,,,Canare,Bokeh Closed - Cups - Canare - 8927078684,,, - Cups - ,In Transit
1299,Bokeh Open - Cups - Canare - 8674555921,8674555921,Bokeh Open,Cups,Canare,12,,4/16/2025,$480.00,Cups,$40.00,4/16/2025 5:36pm,,checked,,Cups,,,Canare,Bokeh Open - Cups - Canare - 8674555921,,, - Cups - ,In Transit
1298,Aeolus - Cups - Ash - 8690554825,8690554825,Aeolus,Cups,Ash,2,,4/16/2025,$80.00,Cups,$40.00,4/16/2025 5:36pm,,checked,,Cups,,,Ash,Aeolus - Cups - Ash - 8690554825,,, - Cups - ,In Transit
1297,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,8875350176,Bokeh Open,Cups,Spectraply Emberstone,6,,4/15/2025,$240.00,Cups,$40.00,4/15/2025 2:48pm,,checked,,Cups,,,Spectraply Emberstone,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,,, - Cups - ,In Transit
1296,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,8875348156,Bokeh Open,Cups,Spectraply Nocturne,4,,4/15/2025,$160.00,Cups,$40.00,4/15/2025 2:48pm,,checked,,Cups,,,Spectraply Nocturne,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,,, - Cups - ,In Transit
